google_search,lon,lat
"107 West 6th Street Austin, TX",-97.7435133,30.2680443
"312 East 6th Street Austin, TX",-97.739723,30.267507
"1300 Block East 6th Street Austin, TX",-97.7292582,30.2641192
"East 5th Street And Attayac Austin, TX",-97.7299288,30.2631379
"8th Street And Ih 35 Service Road Austin, TX",-97.7347183,30.2683258
"1300 Block East 5th Street Austin, TX",-97.7294892,30.2633143
"300 Block North Ih 35 Service Road Austin, TX",-97.7362687,30.2635063
"500 Block Congress Avenue Austin, TX",-97.7434102,30.2673804
"East 6th Street At Neches Street Austin, TX",-97.738247,30.266782
"300 Block West 8th Street Austin, TX",-97.7444989,30.2705783
"620 East 3rd Street Austin, TX",-97.7372921,30.2636644
"811 Trinity Street Austin, TX",-97.7376812,30.2694661
"700 Block Neches Street Austin, TX",-97.7378913,30.267853
"600 Block Trinity Austin, TX",-97.7393269,30.2672368
"East 6th Street At Brazos Street Austin, TX",-97.741483,30.2676817
"600 Block Trintiy Street Austin, TX",-97.7393269,30.2672368
"East 7th Street At North Ih35 Austin, TX",-97.7346772,30.2668223
"6th Street At Neches Street Austin, TX",-97.738247,30.266782
"223 East 6th Street Austin, TX",-97.740673,30.2672513
"San Jacinto Boulevard At East 6th Street Austin, TX",-97.7404088,30.2673868
"200 Block Congress Avenue Austin, TX",-97.7445985,30.2648019
"Cesar Chavez Street And Ih 35 Service Ro Austin, TX",-97.7288984,30.2585714
"706 Guadalupe Street Austin, TX",-97.7460627,30.2707391
"6th Street At Congress Austin, TX",-97.742813,30.268066
"600 Block Congress Austin, TX",-97.7431606,30.2686309
"30 Block Neches Street Austin, TX",-97.737563,30.268639
"6th Street And Congress Avenue Austin, TX",-97.742813,30.268066
"500 East 7th Street Austin, TX",-97.7375115,30.2678638
"700 Block East 9th Street Austin, TX",-97.7350027,30.2689837
"300 Block Congress Austin, TX",-97.744191,30.26558
"400 Block Congress Avenue Austin, TX",-97.7438558,30.2664806
"100 Block East 2nd Street Austin, TX",-97.7441836,30.2643163
"823 Congress Avenue Austin, TX",-97.7414581,30.2703623
"100 Block West 3rd Street Austin, TX",-97.7442077,30.2655301
"100 Block 2nd Street Austin, TX",-97.7442097,30.2643235
"700 Block  East 7th Street Austin, TX",-97.7349654,30.2674769
"500 Block Brazos Street Austin, TX",-97.7417425,30.267012
"300 Block Onion Street Austin, TX",-97.7288218,30.2606846
"600 Block Neches Austin, TX",-97.7381057,30.2668634
"7th Street And Congress Avenue Austin, TX",-97.7424719,30.268966
"300 Bkicj East 6th Street Austin, TX",-97.740155,30.267582
"1100 Block East Cesar Chavez Austin, TX",-97.7333317,30.2603848
"1100 East Cesar Chavez Austin, TX",-97.7333317,30.2603848
"200 Block North Ih 35 Service Road Austin, TX",-97.7348636,30.2648929
"800 Block Waller Creek Austin, TX",-97.7300659,30.266405
"600 Block East 8th Street Austin, TX",-97.7364988,30.2683562
"300 Block East 8th Street Austin, TX",-97.7390392,30.2693858
"800 Block North Ih 35 Service Road Austin, TX",-97.5906901,30.8529411
"300 Block 8th Street Austin, TX",-97.7390392,30.2693858
"8th Street And Ih 35 Austin, TX",-97.7343556,30.2677242
"700 Block Ih 35 Service Road Austin, TX",-97.5375641,30.9539496
"600 Block Sabine Austin, TX",-97.7362596,30.2663927
"700 Block East 8th Street Austin, TX",-97.7347532,30.2681613
"Red River Street And East 6th Street Austin, TX",-97.7371869,30.266475
"600 Block East 6th Street Austin, TX",-97.7368749,30.2666026
"700 Block North Ih 35 Austin, TX",-97.7226924,30.2916104
"600 Block Red River Austin, TX",-97.7372013,30.2666132
"600 Block Red River Street Austin, TX",-97.7372013,30.2666132
"200 Block West 2nd Street Austin, TX",-97.7456859,30.264954
"700 Block Red River Austin, TX",-97.736955,30.267771
"100 Block East 3rd Street Austin, TX",-97.7438337,30.2652611
"310 East 6th Street Austin, TX",-97.739827,30.267535
"100 Block West 4th Street Austin, TX",-97.7434879,30.2662006
"300 Block East 7th Street Austin, TX",-97.7395929,30.2686238
"500 Block San Jacinto Boulevard Austin, TX",-97.7409341,30.2667942
"East 6th Street And San Jacinto Boulevar Austin, TX",-97.7404088,30.2673868
"East 8th Street And Red River Street Austin, TX",-97.7365015,30.2683569
"East 8th Street And Red River Austin, TX",-97.7365015,30.2683569
"800 Bock 8th Street Austin, TX",-97.7335121,30.2675049
"800 Block 8th Street Austin, TX",-97.7335121,30.2675049
"800 Block North Ih 35 Srvice Road Austin, TX",-97.6755515,30.4012811
"800 Block East 7th Street Austin, TX",-97.7338578,30.2665765
"601 East 8th Street Austin, TX",-97.7364988,30.2683562
"300 Block West Cesar Chavez Austin, TX",-97.7469908,30.2641287
"700 Block North I H 35 Austin, TX",-97.7226924,30.2916104
